URL,Name,Date,Organisation,Eligibility,Region,Keywords,Label
https://dare2compete.com/competitions/27323/kth-masters-challenge-full-scholarship-monthly-stipend/kth-royal-institute-of-technology-kthrit-sweden,KTH Master's Challenge (Full Scholarship + Monthly Stipend),21st Nov'17,"KTH Royal Institute Of Technology (KTHRIT), Sweden",Engineering Students,Global,"Electric Power Engineering, Engineering Design, Information Engineering, Network Engineering",0
https://dare2compete.com/competitions/27389/marksman-call-for-articles-november-2017/k-j-somaiya-institute-of-management-studies-and-research-simsr-mumbai,Marksman Call For Articles- November 2017,8th Nov'17  to 20th Nov'17,"K. J. Somaiya Institute Of Management Studies And Research (SIMSR), Mumbai","Graduate, MBA Students, Postgraduate",India,"Marketing, competition",1
https://dare2compete.com/competitions/27388/convergence-2017/sydenham-institute-of-management-studies-and-research-and-entrepreneurship-education-simsree-mumb,Convergence 2017,11th Nov'17,"Sydenham Institute Of Management Studies, Research And Entrepreneurship Education",MBA Students,India,"Management, competition",1
https://dare2compete.com/competitions/27381/prarambh-2018/indian-institute-of-management-iim-udaipur,Prarambh 2018,3rd Nov'17  to 30th Nov'17,"Indian Institute Of Management (IIM), Udaipur",All,India,"Entrepreneurship, Management, Marketing",1
https://dare2compete.com/competitions/27380/click-india-photography-competition-shot-3/other-organization-not-listed-here,Click India Photography Competition - Shot 3,5th Dec'17,WhatsurSkill,All,India,"photography, competition",0
https://dare2compete.com/quizzes/27369/nec-iit-bombay-presents-the-entrepreneurship-quiz-challenge/hindu-college-hu-university-of-delhi-du-new-delhi,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,14th Nov'17,"Hindu College (HU), University Of Delhi (DU), New Delhi","Engineering Students, Graduate, MBA Students, Postgraduate, School Students, Undergraduate",India,"Coding, Programming, Information Technology",0
https://dare2compete.com/competitions/27363/battleground-80/rajiv-gandhi-indian-institute-of-management-iim-shillong,Battleground 8.0,18th Nov'17  to 18th Nov'17,"Rajiv Gandhi Indian Institute Of Management (IIM), Shillong","MBA Students, Postgraduate",India,"Business, casestudy, presentation",1
https://dare2compete.com/competitions/27363/battleground-80/rajiv-gandhi-indian-institute-of-management-iim-shillong,ShopFloor,8th Dec'17,"International Management Institute (IMI), Kolkata","MBA Students, Postgraduate",India,"Competition,Business,Marketing,Strategy,Awards,College Festival,Presentation",1
https://dare2compete.com/competitions/27354/crackitup/indian-education-society-management-college-and-research-centre-ies-mcrc-mumbai,CrackItUp,22nd Nov'17  to 29th Nov'17,"Indian Education Society Management College And Research Centre (IES MCRC), Mumbai",MBA Students,India,"Competition,Business,Others,Online Quiz,Operations,Business Plan,Case Study",0
https://dare2compete.com/hackathons/27361/nec-iit-bombay-presents-codesprint/bipin-tripathi-kumaon-institute-of-technology-btkit-dwarahat,NEC IIT Bombay Presents CodeSprint,16th Nov'17,"Bipin Tripathi Kumaon Institute Of Technology (BTKIT), Dwarahat",Engineering Students,India,"Hackathon,Engineering,Coding",0
https://dare2compete.com/competitions/27360/kamaal-dhamaal-bemisaal/narsee-monjee-institute-of-management-studies-nmims-hyderabad,Kamaal Dhamaal Bemisaal,8th Nov'17  to 26th Nov'17,"Narsee Monjee Institute Of Management Studies (NMIMS), Hyderabad",All,India,"Competition,Arts & Design,Business,Engineering,Others,Dramatics",0
https://dare2compete.com/competitions/27356/brainy-awards/dievas-technologies-private-limited,Brainy Awards,25th Feb'18,Dievas Technologies Private Limited,All,India,"Competition,Arts & Design,Business,Engineering,Others,Online Quiz,Awards",0
https://dare2compete.com/quizzes/27343/inquizito-tickle-your-grey-cells/school-of-inspired-leadership-soil-gurgaon,Inquizito - Tickle Your Grey Cells,25th Nov'17  to 25th Nov'17,"School Of Inspired Leadership (SOIL), Gurgaon","Corporate, Graduate, MBA Students, Postgraduate",India,"Quiz,Business,On Campus Quiz,Online Quiz,Strategy",0
https://dare2compete.com/competitions/27342/finathon-time-to-trade/school-of-inspired-leadership-soil-gurgaon,Finathon - Time To Trade!,25th Nov'17  to 25th Nov'17,"School Of Inspired Leadership (SOIL), Gurgaon","Corporate, MBA Students, Postgraduate",India,"Competition,Business,Finance,On Campus Quiz,Online Quiz,Online Trading,Simulation Game",0
https://dare2compete.com/competitions/27341/yalgaar-time-for-halla-bol/school-of-inspired-leadership-soil-gurgaon,Yalgaar - Time For Halla Bol!,25th Nov'17  to 25th Nov'17,"School Of Inspired Leadership (SOIL), Gurgaon",All,India,"Competition,Others,Dramatics,Awards,College Festival",0
https://dare2compete.com/competitions/21779/intellops-article-writing-competition-opcellence/symbiosis-institute-of-business-management-sibm-pune,IntellOps- Article Writing Competition By OpCellence,2nd Nov'17  to 12th Nov'17,"Symbiosis Institute Of Business Management (SIBM), Pune",MBA Students,India,"Competition,Business,Engineering,Article Writing,Operations",0
https://dare2compete.com/competitions/27352/biocon-presents-shot-of-life/biocon,BIOCON PRESENTS SHOT OF LIFE,1st Nov'17  to 19th Nov'17,BIOCON,"Engineering Students, Graduate, MBA Students, Postgraduate, Undergraduate",India,"Competition,Others,Marketing,Strategy,Awards,Social Media & Digital",1
https://dare2compete.com/quizzes/27349/nec-iit-bombay-presents-empresario/university-institute-of-engineering-and-technology-uiet-chandigarh,NEC IIT Bombay Presents Empresario,11th Nov'17,"University Institute Of Engineering And Technology (UIET), Chandigarh","Engineering Students, Graduate, MBA Students, Postgraduate, Undergraduate",India,"Quiz,Arts & Design,Business,Engineering,Online Quiz",0
https://dare2compete.com/competitions/27339/rural-le-carte/school-of-inspired-leadership-soil-gurgaon,Rural Le Carte,25th Nov'17  to 25th Nov'17,"School Of Inspired Leadership (SOIL), Gurgaon","Graduate, MBA Students, Postgraduate",India,"Competition,Business,Marketing,Strategy,Business Plan,Presentation,Simulation Game",1
https://dare2compete.com/competitions/27329/the-fast-pay-story/school-of-inspired-leadership-soil-gurgaon,The Fast Pay Story,25th Nov'17  to 25th Nov'17,"School Of Inspired Leadership (SOIL), Gurgaon","Corporate, MBA Students, Postgraduate",India,"Competition,Business,Marketing,Strategy,Business Plan,Case Study,Presentation",1
https://dare2compete.com/competitions/27311/finacumen-iim-nagpur/indian-institute-of-management-iim-nagpur,"FINAcumen, IIM Nagpur",18th Nov'17,"Indian Institute Of Management (IIM), Nagpur",MBA Students,India,"Competition,Business,Finance,Online Quiz",0
